Category Code,Product Code,Name,Description,Scan Identifier,Category Name,Enabled,Type,Component Product Code,Component Quantity,Component Price,HSN CODE,Tax Calculation Type,Batch Group,GRN expiry tolerance (in days),Dispatch expiry tolerance (in days),Return expiry tolerance (in days),Expirable,Determine Expiry From,Shelf Life
ROBOTICS COMPONENT,RB-1150,BO MOTOR,,RB-1150,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1151,BO Wheel,,RB-1151,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1152,CAR CHASIS,,RB-1152,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1153,CC3D,,RB-1153,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1154,NODEMCU CH340,,RB-1154,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1155,CNC SHIELD,,RB-1155,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1156,CP2102 5 PIN,,RB-1156,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1157,V410 Mask,,RB-1157,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1158,Crocodile Clip ( 10 Pcs),,RB-1158,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1159,CT6B,,RB-1159,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1160,58MM BLACK PRINTER,,RB-1160,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1161,58 MM BLUETOOTH PRINTER,,RB-1161,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1162,D1 MINI,,RB-1162,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1163,D1 UNO,,RB-1163,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
