Channel Name,Product Name,Channel Product Id,Seller Sku Code,Uniware Sku Code,Blocked Inventory,Disabled,Selling Price,Max Retail Price,Currency Code,Status Code,Next Inventory Update,Last Inventory Update
FLIPKART_techleads,Robotbanao Universal Landing Gear Skid for DJI F450 F550 Sk480 Multirotor Quadcopter (Black) Miscellaneous Electronic Hobby Kit (),LSTEHKFEFGY6KUQUXWEXIT0XM,TL-26031,RB-1194,0,FALSE,,,,LINKED,1097,1072
AMAZON_IN_techleads,Techleads Universal Landing Gear Skid for DJI F450 F550 Sk480 Multirotor Quadcopter (Black),B07N4MPTQG,TL-26031,RB-1194,0,FALSE,,,,LINKED,1097,1074
FLIPKART_techleads,Robotbanao Pulse Heart Rate Sensor Module for Arduino Raspberry Pi Electronic Components Electronic Hobby Kit (),LSTEHKFEFHGU9UQFEF523II6K,TL-26032,RB-1234,0,FALSE,,,,LINKED,7,3
FLIPKART_techleads,Robotbanao 30A Simonk Brushless Motor Speed Controller RC BEC ESC for Quadcopter Plane Helicopter Motor Control Electronic Hobby Kit (),LSTEHKFEFHACGVHSMUWPOW5GV,TL-26034,RB-1247,0,FALSE,,,,LINKED,1629,49
AMAZON_IN_techleads,Techleads 30A Simonk Brushless Motor Speed Controller Rc Bec Esc For Quadcopter Plane Helicopter,B07N4M7HYV,TL-26034,RB-1247,0,FALSE,,,,LINKED,1629,0
FLIPKART_JAIN,Robotbanao 30A Simonk Brushless Motor Speed Controller RC BEC ESC for Quadcopter Plane Helicopter Motor Control Electronic Hobby Kit,LSTEHKFEFHACGVHSMUWPOW5GV,TL-26034,RB-1247,0,FALSE,,,,LINKED,1629,
FLIPKART_techleads,Robotbanao L298N 2A BASED MOTOR DRIVER MODULE Motor Control Electronic Hobby Kit (),LSTEHKFEQHJRTRSZ3PHG3DXTU,TL-26035,RB-1193,0,FALSE,,,,LINKED,750,346
FLIPKART_JAIN,Robotbanao L298N 2A BASED MOTOR DRIVER MODULE Motor Control Electronic Hobby Kit,LSTEHKFEQHJRTRSZ3PHG3DXTU,TL-26035,RB-1193,0,FALSE,,,,LINKED,750,
AMAZON_IN_techleads,Techleads L298 Motor Driver Module Dual H Bridge Dc Stepper For Arduino,B07N4M2K98,TL-26035,RB-1193,0,FALSE,,,,LINKED,750,683
AMAZON_IN_techleads,Techleads Pam8403 Class D Digital Audio Amplifier Module 5V Usb Power (2X3W),B07N512RMG,TL-26036,RB-1225,0,FALSE,,,,LINKED,419,325
FLIPKART_techleads,"Robotbanao MQ2 ARDUINO COMPATIBLE GAS SENSOR, METHANE, BUTANE, LPG, SMOKE Electronic Components Electronic Hobby Kit ()",LSTEHKFEZAYSGFGEAFFIUYZ4H,TL-26037,RB-1214,0,FALSE,,,,LINKED,419,517
FLIPKART_JAIN,"Robotbanao MQ2 ARDUINO COMPATIBLE GAS SENSOR, METHANE, BUTANE, LPG, SMOKE Electronic Components Electronic Hobby Kit",LSTEHKFEZAYSGFGEAFFIUYZ4H,TL-26037,RB-1214,0,FALSE,,,,LINKED,419,
